,HOUSEID,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
8386,30515583,>60,5,0.5,10 - 15 miles,10 - 20
8387,30515621,50 - 60,3,0,<=5 miles,<=10
8388,30515625,50 - 60,3,non-work,Not Sure,non-work
8389,30515654,40 - 50,3,non-work,Not Sure,non-work
8390,30515709,>60,4,non-work,Not Sure,non-work
8391,30515805,<=30,5,0,5-10 miles,10 - 20
8392,30515879,40 - 50,5,1,>15 miles,>30
8393,30515891,>60,2,non-work,Not Sure,non-work
8394,30515969,>60,5,non-work,Not Sure,non-work
8395,30515984,>60,2,non-work,Not Sure,non-work
8396,30516053,>60,3,non-work,Not Sure,non-work
8397,30516086,>60,2,non-work,Not Sure,non-work
8398,30516144,>60,3,non-work,Not Sure,non-work
8399,30516269,>60,3,non-work,Not Sure,non-work
8400,30516271,40 - 50,5,1,10 - 15 miles,>30
8401,30516284,50 - 60,3,0,10 - 15 miles,10 - 20
8402,30516294,<=30,4,1,<=5 miles,20 - 30
8403,30516422,>60,2,non-work,Not Sure,non-work
8404,30516775,50 - 60,2,1,<=5 miles,<=10
8405,30516826,>60,2,non-work,Not Sure,non-work
8406,30516834,>60,5,0,<=5 miles,<=10
8407,30516879,<=30,5,0.5,>15 miles,20 - 30
8408,30516893,50 - 60,4,1,5-10 miles,10 - 20
8409,30517004,>60,3,non-work,Not Sure,non-work
8410,30517120,>60,3,non-work,Not Sure,non-work
8411,30517337,>60,5,1,5-10 miles,10 - 20
8412,30517377,>60,2,non-work,Not Sure,non-work
8413,30517538,50 - 60,5,0.5,<=5 miles,<=10
8414,30517600,>60,3,non-work,Not Sure,non-work
8415,30517606,50 - 60,2,1,10 - 15 miles,10 - 20
8416,30517642,40 - 50,4,>0.5,5-10 miles,>30
8417,30517681,40 - 50,4,>0.5,>15 miles,>30
8418,30517816,<=30,5,<0.5,<=5 miles,20 - 30
8419,30517826,>60,5,0,Not Sure,non-work
8420,30517921,30 - 40,2,<0.5,10 - 15 miles,20 - 30
8421,30517995,>60,4,non-work,Not Sure,non-work
8422,30518039,>60,3,non-work,Not Sure,non-work
8423,30518112,40 - 50,3,1,10 - 15 miles,10 - 20
8424,30518144,>60,2,non-work,Not Sure,non-work
8425,30518214,50 - 60,3,1,10 - 15 miles,20 - 30
8426,30518255,>60,2,0,5-10 miles,10 - 20
8427,30518318,50 - 60,3,1,>15 miles,>30
8428,30518330,>60,2,non-work,Not Sure,non-work
8429,30518370,>60,5,non-work,Not Sure,non-work
8430,30518427,>60,3,non-work,Not Sure,non-work
8431,30518452,<=30,3,1,>15 miles,20 - 30
8432,30518612,>60,5,non-work,Not Sure,non-work
8433,30518639,>60,5,0,Not Sure,non-work
8434,30518911,50 - 60,3,0,5-10 miles,20 - 30
8435,30518969,>60,3,non-work,Not Sure,non-work
8436,30518976,50 - 60,3,non-work,Not Sure,non-work
8437,30518980,>60,1,non-work,Not Sure,non-work
8438,30519019,>60,3,non-work,Not Sure,non-work
8439,30519029,<=30,2,<0.5,<=5 miles,10 - 20
8440,30519101,50 - 60,2,1,5-10 miles,10 - 20
8441,30519120,<=30,5,0.5,10 - 15 miles,10 - 20
8442,30519184,50 - 60,4,1,Not Sure,non-work
8443,30519209,30 - 40,4,1,>15 miles,10 - 20
8444,30519278,>60,4,non-work,Not Sure,non-work
8445,30519299,<=30,4,1,>15 miles,>30
8446,30519304,>60,5,non-work,Not Sure,non-work
8447,30519438,50 - 60,3,1,5-10 miles,10 - 20
8448,30519524,>60,2,non-work,Not Sure,non-work
8449,30519563,>60,3,non-work,Not Sure,non-work
8450,30519705,<=30,5,<0.5,10 - 15 miles,>30
8451,30519718,>60,4,1,<=5 miles,>30
8452,30519729,40 - 50,4,<0.5,<=5 miles,10 - 20
8453,30519733,30 - 40,5,1,<=5 miles,<=10
8454,30519915,>60,3,non-work,Not Sure,non-work
8455,30519984,>60,4,0.5,<=5 miles,<=10
8456,30520078,50 - 60,4,1,5-10 miles,20 - 30
8457,30520160,>60,4,non-work,Not Sure,non-work
8458,30520263,50 - 60,5,0.5,<=5 miles,10 - 20
8459,30520339,30 - 40,3,0.5,>15 miles,20 - 30
8460,30520451,>60,4,0.5,<=5 miles,10 - 20
8461,30520484,30 - 40,3,non-work,Not Sure,non-work
8462,30520604,30 - 40,4,0.5,<=5 miles,10 - 20
8463,30520667,50 - 60,4,<0.5,>15 miles,<=10
8464,30520791,30 - 40,3,non-work,Not Sure,non-work
8465,30520803,50 - 60,5,>0.5,5-10 miles,10 - 20
8466,30520843,40 - 50,3,<0.5,10 - 15 miles,20 - 30
8467,30520893,30 - 40,5,<0.5,>15 miles,10 - 20
8468,30520921,>60,4,0.5,<=5 miles,10 - 20
8469,30520956,<=30,3,<0.5,Not Sure,non-work
8470,30520971,<=30,3,non-work,Not Sure,non-work
8471,30521021,40 - 50,5,1,>15 miles,>30
8472,30521043,>60,4,0,5-10 miles,20 - 30
8473,30521053,>60,5,0,Not Sure,non-work
8474,30521103,30 - 40,3,0.5,5-10 miles,10 - 20
8475,30521157,>60,5,0,5-10 miles,10 - 20
8476,30521407,40 - 50,5,<0.5,<=5 miles,<=10
8477,30521448,<=30,3,0.5,10 - 15 miles,10 - 20
8478,30521768,<=30,4,1,>15 miles,>30
8479,30521857,30 - 40,5,<0.5,>15 miles,10 - 20
8480,30521900,<=30,3,0,<=5 miles,10 - 20
8481,30521927,>60,5,0.5,>15 miles,<=10
8482,30521947,50 - 60,5,1,>15 miles,>30
8483,30521987,50 - 60,5,1,5-10 miles,10 - 20
8484,30522013,30 - 40,5,non-work,Not Sure,non-work
8485,30522044,30 - 40,3,non-work,Not Sure,non-work
8486,30522073,>60,2,1,5-10 miles,>30
8487,30522116,>60,4,1,<=5 miles,10 - 20
8488,30522244,>60,5,non-work,Not Sure,non-work
8489,30522346,30 - 40,5,0.5,>15 miles,>30
8490,30522550,>60,4,non-work,Not Sure,non-work
8491,30522572,30 - 40,5,0.5,5-10 miles,>30
8492,30522604,>60,1,non-work,Not Sure,non-work
8493,30522608,30 - 40,4,1,10 - 15 miles,10 - 20
8494,30522668,>60,2,0.5,<=5 miles,10 - 20
8495,30522729,>60,3,non-work,Not Sure,non-work
8496,30522770,30 - 40,3,0,<=5 miles,<=10
8497,30522785,>60,3,non-work,Not Sure,non-work
8498,30522817,>60,3,non-work,Not Sure,non-work
8499,30522918,40 - 50,4,0.5,10 - 15 miles,20 - 30
8500,30522961,>60,2,non-work,Not Sure,non-work
8501,30522967,30 - 40,4,0.5,>15 miles,20 - 30
8502,30523038,50 - 60,3,0,<=5 miles,<=10
8503,30523107,>60,3,non-work,Not Sure,non-work
8504,30523131,30 - 40,5,1,10 - 15 miles,10 - 20
8505,30523149,>60,3,non-work,Not Sure,non-work
8506,30523174,>60,2,non-work,Not Sure,non-work
8507,30523258,>60,5,0.5,<=5 miles,<=10
8508,30523277,30 - 40,5,>0.5,5-10 miles,20 - 30
8509,30523361,40 - 50,3,0,5-10 miles,10 - 20
8510,30523408,>60,4,non-work,Not Sure,non-work
8511,30523554,40 - 50,3,1,Not Sure,non-work
8512,30523633,>60,3,non-work,Not Sure,non-work
8513,30523650,>60,2,non-work,Not Sure,non-work
8514,30523666,>60,1,non-work,Not Sure,non-work
8515,30523670,>60,2,non-work,Not Sure,non-work
8516,30523746,>60,3,non-work,Not Sure,non-work
8517,30523754,>60,2,non-work,Not Sure,non-work
8518,30523830,<=30,5,<0.5,>15 miles,10 - 20
8519,30523902,40 - 50,5,0.5,>15 miles,20 - 30
8520,30523918,>60,2,non-work,Not Sure,non-work
8521,30524108,30 - 40,4,0.5,>15 miles,>30
8522,30524178,>60,3,non-work,Not Sure,non-work
8523,30524207,30 - 40,5,0.5,10 - 15 miles,>30
8524,30524312,30 - 40,4,<0.5,>15 miles,<=10
8525,30524377,>60,2,non-work,Not Sure,non-work
8526,30524523,>60,3,1,>15 miles,20 - 30
8527,30524566,>60,4,non-work,Not Sure,non-work
8528,30524815,40 - 50,4,>0.5,10 - 15 miles,20 - 30
8529,30524947,>60,2,non-work,Not Sure,non-work
8530,30525110,>60,5,non-work,Not Sure,non-work
8531,30525151,>60,3,non-work,Not Sure,non-work
8532,30525238,40 - 50,4,1,<=5 miles,<=10
8533,30525268,40 - 50,3,non-work,Not Sure,non-work
8534,30525271,40 - 50,5,1,>15 miles,20 - 30
8535,30525308,>60,5,non-work,Not Sure,non-work
8536,30525347,30 - 40,5,0.5,5-10 miles,<=10
8537,30525405,>60,5,0.5,>15 miles,>30
8538,30525421,50 - 60,3,1,5-10 miles,20 - 30
8539,30525452,<=30,3,1,5-10 miles,10 - 20
8540,30525483,>60,2,non-work,Not Sure,non-work
8541,30525626,>60,4,non-work,Not Sure,non-work
8542,30525768,>60,5,non-work,Not Sure,non-work
8543,30525772,>60,5,non-work,Not Sure,non-work
8544,30525802,50 - 60,4,1,>15 miles,20 - 30
8545,30525847,>60,2,0.5,>15 miles,NA
8546,30525898,>60,5,non-work,Not Sure,non-work
8547,30525912,30 - 40,5,<0.5,<=5 miles,<=10
8548,30525923,>60,3,non-work,Not Sure,non-work
8549,30525951,>60,5,non-work,Not Sure,non-work
8550,30526010,30 - 40,3,0.5,5-10 miles,10 - 20
8551,30526089,<=30,3,0.5,<=5 miles,<=10
8552,30526128,40 - 50,5,<0.5,10 - 15 miles,20 - 30
8553,30526131,>60,5,1,<=5 miles,10 - 20
8554,30526184,30 - 40,5,<0.5,<=5 miles,<=10
8555,30526328,30 - 40,4,<0.5,>15 miles,>30
8556,30526420,<=30,4,0.5,5-10 miles,20 - 30
8557,30526443,>60,2,1,<=5 miles,10 - 20
8558,30526448,>60,5,non-work,Not Sure,non-work
8559,30526620,50 - 60,5,1,10 - 15 miles,10 - 20
8560,30526757,30 - 40,4,0.5,>15 miles,10 - 20
8561,30526840,50 - 60,2,0,Not Sure,non-work
8562,30526965,50 - 60,3,0.5,10 - 15 miles,10 - 20
8563,30527022,>60,5,non-work,Not Sure,non-work
8564,30527025,>60,2,non-work,Not Sure,non-work
8565,30527168,>60,3,non-work,Not Sure,non-work
8566,30527251,>60,3,0.5,<=5 miles,10 - 20
8567,30527327,40 - 50,3,1,5-10 miles,>30
8568,30527329,>60,5,0.5,>15 miles,20 - 30
8569,30527468,30 - 40,4,1,5-10 miles,10 - 20
8570,30527506,>60,4,non-work,Not Sure,non-work
8571,30527637,50 - 60,4,1,>15 miles,>30
8572,30527668,>60,5,1,>15 miles,>30
8573,30527685,30 - 40,5,1,<=5 miles,<=10
8574,30527767,>60,2,non-work,Not Sure,non-work
8575,30527833,>60,5,non-work,Not Sure,non-work
8576,30527946,50 - 60,2,1,5-10 miles,20 - 30
8577,30528191,40 - 50,3,1,<=5 miles,<=10
8578,30528199,>60,5,non-work,Not Sure,non-work
8579,30528213,40 - 50,3,1,>15 miles,>30
8580,30528305,>60,2,non-work,Not Sure,non-work
8581,30528495,>60,2,non-work,Not Sure,non-work
8582,30528505,50 - 60,3,non-work,Not Sure,non-work
8583,30528560,50 - 60,3,0.5,<=5 miles,10 - 20
8584,30528561,50 - 60,5,non-work,Not Sure,non-work
8585,30528593,>60,5,non-work,Not Sure,non-work
8586,30528645,30 - 40,4,<0.5,<=5 miles,10 - 20
8587,30528677,>60,5,non-work,Not Sure,non-work
8588,30528797,40 - 50,5,<0.5,10 - 15 miles,20 - 30
8589,30528810,>60,4,non-work,Not Sure,non-work
8590,30528838,50 - 60,3,1,10 - 15 miles,20 - 30
8591,30528878,40 - 50,5,0,Not Sure,non-work
8592,30528945,<=30,5,<0.5,>15 miles,>30
8593,30528966,>60,4,non-work,Not Sure,non-work
8594,30528975,50 - 60,2,non-work,Not Sure,non-work
8595,30529023,30 - 40,4,1,5-10 miles,10 - 20
8596,30529066,>60,3,non-work,Not Sure,non-work
8597,30529113,50 - 60,4,0.5,>15 miles,>30
8598,30529232,30 - 40,2,non-work,Not Sure,non-work
8599,30529246,>60,5,non-work,Not Sure,non-work
8600,30529294,>60,3,non-work,Not Sure,non-work
8601,30529378,40 - 50,4,1,<=5 miles,>30
8602,30529392,40 - 50,4,>0.5,10 - 15 miles,10 - 20
8603,30529394,50 - 60,5,0.5,>15 miles,>30
8604,30529395,>60,3,non-work,Not Sure,non-work
8605,30529451,>60,5,0.5,>15 miles,>30
8606,30529492,>60,5,non-work,Not Sure,non-work
8607,30529508,<=30,3,0.5,<=5 miles,<=10
8608,30529543,30 - 40,4,0.5,<=5 miles,<=10
8609,30529598,40 - 50,4,non-work,Not Sure,non-work
8610,30529648,50 - 60,1,non-work,Not Sure,non-work
8611,30529707,>60,4,non-work,Not Sure,non-work
8612,30529713,30 - 40,4,<0.5,>15 miles,>30
8613,30529775,50 - 60,3,0,5-10 miles,10 - 20
8614,30529826,40 - 50,1,non-work,Not Sure,non-work
8615,30529872,40 - 50,2,1,>15 miles,20 - 30
8616,30529884,>60,2,non-work,Not Sure,non-work
8617,30529993,>60,4,1,<=5 miles,<=10
8618,30530019,>60,4,non-work,Not Sure,non-work
8619,30530260,>60,2,non-work,Not Sure,non-work
8620,30530318,30 - 40,5,1,>15 miles,10 - 20
8621,30530367,>60,4,non-work,Not Sure,non-work
8622,30530420,>60,3,non-work,Not Sure,non-work
8623,30530458,>60,5,non-work,Not Sure,non-work
8624,30530542,40 - 50,3,non-work,Not Sure,non-work
8625,30530613,>60,5,<0.5,>15 miles,>30
8626,30530748,>60,5,1,>15 miles,20 - 30
8627,30530785,>60,3,0.5,<=5 miles,<=10
8628,30530812,30 - 40,3,<0.5,<=5 miles,20 - 30
8629,30530842,30 - 40,5,<0.5,10 - 15 miles,>30
8630,30530883,50 - 60,5,1,>15 miles,>30
8631,30530894,50 - 60,4,0,Not Sure,non-work
8632,30530905,40 - 50,4,>0.5,10 - 15 miles,10 - 20
8633,30530994,50 - 60,3,1,10 - 15 miles,10 - 20
8634,30530999,50 - 60,2,non-work,Not Sure,non-work
8635,30531012,>60,5,non-work,Not Sure,non-work
8636,30531078,30 - 40,5,<0.5,10 - 15 miles,10 - 20
8637,30531099,<=30,3,0.5,<=5 miles,10 - 20
8638,30531123,<=30,4,1,10 - 15 miles,10 - 20
8639,30531175,50 - 60,1,non-work,Not Sure,non-work
8640,30531197,<=30,3,0.5,5-10 miles,<=10
8641,30531299,50 - 60,2,1,>15 miles,>30
8642,30531304,40 - 50,5,0,>15 miles,10 - 20
8643,30531351,50 - 60,5,0.5,Not Sure,non-work
8644,30531387,>60,5,0.5,>15 miles,>30
8645,30531473,<=30,3,<0.5,>15 miles,20 - 30
8646,30531479,50 - 60,4,0.5,<=5 miles,<=10
8647,30531484,>60,2,non-work,Not Sure,non-work
8648,30531490,>60,2,non-work,Not Sure,non-work
8649,30531613,<=30,5,1,>15 miles,10 - 20
8650,30531658,30 - 40,4,0,Not Sure,non-work
8651,30531692,50 - 60,2,non-work,Not Sure,non-work
8652,30531963,40 - 50,5,<0.5,5-10 miles,20 - 30
8653,30531966,50 - 60,3,0,<=5 miles,<=10
8654,30532057,>60,3,0.5,Not Sure,non-work
8655,30532122,50 - 60,3,1,>15 miles,>30
8656,30532141,>60,5,non-work,Not Sure,non-work
8657,30532317,>60,3,non-work,Not Sure,non-work
8658,30532348,>60,4,non-work,Not Sure,non-work
8659,30532436,<=30,5,0,<=5 miles,10 - 20
8660,30532479,<=30,3,<0.5,>15 miles,>30
8661,30532499,30 - 40,5,<0.5,Not Sure,non-work
8662,30532536,>60,5,non-work,Not Sure,non-work
8663,30532562,>60,5,non-work,Not Sure,non-work
8664,30532595,40 - 50,3,non-work,Not Sure,non-work
8665,30532596,<=30,5,non-work,Not Sure,non-work
8666,30532692,>60,4,non-work,Not Sure,non-work
8667,30532702,<=30,5,<0.5,10 - 15 miles,10 - 20
8668,30532713,<=30,5,0.5,10 - 15 miles,<=10
8669,30532825,40 - 50,4,0.5,<=5 miles,10 - 20
8670,30532847,40 - 50,3,0.5,>15 miles,20 - 30
8671,30532883,>60,4,0,>15 miles,<=10
8672,30532909,50 - 60,4,non-work,Not Sure,non-work
8673,30532944,30 - 40,3,non-work,Not Sure,non-work
8674,30532959,50 - 60,3,1,<=5 miles,10 - 20
8675,30532998,>60,1,non-work,Not Sure,non-work
8676,30533173,<=30,5,<0.5,<=5 miles,<=10
8677,30533180,<=30,5,<0.5,5-10 miles,10 - 20
8678,30533267,>60,2,non-work,Not Sure,non-work
8679,30533307,>60,4,non-work,Not Sure,non-work
8680,30533366,30 - 40,3,1,>15 miles,20 - 30
8681,30533369,40 - 50,4,1,5-10 miles,10 - 20
8682,30533533,30 - 40,4,0,Not Sure,10 - 20
8683,30533558,>60,5,0,10 - 15 miles,20 - 30
8684,30533589,50 - 60,5,1,>15 miles,>30
8685,30533632,>60,4,non-work,Not Sure,non-work
8686,30533864,50 - 60,5,1,<=5 miles,<=10
8687,30533899,>60,5,1,10 - 15 miles,20 - 30
8688,30534004,30 - 40,5,1,5-10 miles,10 - 20
8689,30534214,30 - 40,4,0.5,<=5 miles,10 - 20
8690,30534225,40 - 50,4,>0.5,10 - 15 miles,10 - 20
8691,30534382,>60,3,non-work,Not Sure,non-work
8692,30534545,>60,4,0.5,>15 miles,>30
8693,30534592,>60,5,non-work,Not Sure,non-work
8694,30534850,30 - 40,5,<0.5,>15 miles,>30
8695,30534857,>60,1,non-work,Not Sure,non-work
8696,30534884,50 - 60,3,non-work,Not Sure,non-work
8697,30534926,>60,5,non-work,Not Sure,non-work
8698,30534948,30 - 40,5,1,10 - 15 miles,20 - 30
8699,30534979,>60,5,non-work,Not Sure,non-work
8700,30535002,50 - 60,3,non-work,Not Sure,non-work
8701,30535033,50 - 60,5,0,5-10 miles,<=10
8702,30535052,50 - 60,3,non-work,Not Sure,non-work
8703,30535062,50 - 60,4,non-work,Not Sure,non-work
8704,30535067,30 - 40,5,>0.5,<=5 miles,10 - 20
8705,30535159,>60,2,non-work,Not Sure,non-work
8706,30535306,30 - 40,5,<0.5,>15 miles,>30
8707,30535317,40 - 50,5,>0.5,5-10 miles,20 - 30
8708,30535561,30 - 40,4,<0.5,10 - 15 miles,10 - 20
8709,30535710,50 - 60,5,1,>15 miles,>30
8710,30535728,>60,3,non-work,Not Sure,non-work
8711,30535775,40 - 50,4,>0.5,>15 miles,>30
8712,30535938,>60,5,non-work,Not Sure,non-work
8713,30535968,>60,5,0,<=5 miles,<=10
8714,30536168,40 - 50,5,non-work,Not Sure,non-work
8715,30536206,30 - 40,5,1,>15 miles,20 - 30
8716,30536217,>60,2,0,10 - 15 miles,>30
8717,30536236,40 - 50,4,>0.5,5-10 miles,10 - 20
8718,30536350,30 - 40,4,0.5,>15 miles,>30
8719,30536363,>60,5,non-work,Not Sure,non-work
8720,30536377,>60,5,non-work,Not Sure,non-work
8721,30536400,30 - 40,3,0.5,<=5 miles,<=10
8722,30536521,<=30,5,<0.5,<=5 miles,<=10
8723,30536583,<=30,5,<0.5,>15 miles,>30
8724,30536585,30 - 40,3,0.5,<=5 miles,10 - 20
8725,30536611,>60,3,non-work,Not Sure,non-work
8726,30536615,>60,4,non-work,Not Sure,non-work
8727,30536620,50 - 60,5,<0.5,>15 miles,>30
8728,30536633,<=30,4,1,10 - 15 miles,20 - 30
8729,30536672,>60,4,non-work,Not Sure,non-work
8730,30536845,>60,2,1,5-10 miles,>30
8731,30536891,30 - 40,5,0.5,>15 miles,20 - 30
8732,30536971,>60,4,non-work,Not Sure,non-work
8733,30537006,>60,3,non-work,Not Sure,non-work
8734,30537037,50 - 60,3,0,Not Sure,non-work
8735,30537052,40 - 50,5,>0.5,5-10 miles,>30
8736,30537068,<=30,3,0.5,>15 miles,20 - 30
8737,30537161,>60,5,non-work,Not Sure,non-work
8738,30537167,<=30,5,<0.5,Not Sure,non-work
8739,30537172,<=30,3,non-work,Not Sure,non-work
8740,30537261,30 - 40,5,>0.5,<=5 miles,<=10
8741,30537315,>60,2,0,<=5 miles,<=10
8742,30537345,50 - 60,3,non-work,Not Sure,non-work
8743,30537399,>60,1,non-work,Not Sure,non-work
8744,30537480,>60,4,non-work,Not Sure,non-work
8745,30537491,50 - 60,3,1,5-10 miles,<=10
8746,30537525,>60,4,non-work,Not Sure,non-work
8747,30537632,<=30,4,non-work,Not Sure,non-work
8748,30537666,30 - 40,4,0.5,5-10 miles,10 - 20
8749,30537684,>60,2,non-work,Not Sure,non-work
8750,30537749,<=30,5,<0.5,>15 miles,20 - 30
8751,30537753,40 - 50,4,1,>15 miles,>30
8752,30537803,50 - 60,5,1,10 - 15 miles,20 - 30
8753,30537916,<=30,4,0,10 - 15 miles,10 - 20
8754,30537970,30 - 40,4,0.5,10 - 15 miles,20 - 30
8755,30538032,30 - 40,5,1,5-10 miles,10 - 20
8756,30538041,30 - 40,5,1,>15 miles,>30
8757,30538184,>60,5,1,Not Sure,non-work
8758,30538291,>60,5,1,5-10 miles,10 - 20
8759,30538435,>60,5,0,>15 miles,>30
8760,30538447,<=30,3,>0.5,10 - 15 miles,20 - 30
8761,30538547,50 - 60,3,1,<=5 miles,10 - 20
8762,30538580,>60,5,0.5,5-10 miles,>30
8763,30538700,30 - 40,4,>0.5,10 - 15 miles,20 - 30
8764,30538854,30 - 40,5,>0.5,10 - 15 miles,20 - 30
8765,30538864,50 - 60,2,1,Not Sure,non-work
8766,30538883,>60,5,non-work,Not Sure,non-work
8767,30539182,40 - 50,5,>0.5,5-10 miles,10 - 20
8768,30539246,<=30,4,0.5,5-10 miles,10 - 20
8769,30539301,<=30,4,0,5-10 miles,10 - 20
8770,30539340,<=30,2,non-work,Not Sure,non-work
8771,30539388,>60,5,<0.5,>15 miles,>30
8772,30539484,50 - 60,3,non-work,Not Sure,non-work
8773,30539538,>60,5,0,Not Sure,non-work
8774,30539624,50 - 60,4,>0.5,>15 miles,<=10
8775,30539684,>60,5,non-work,Not Sure,non-work
8776,30539708,>60,4,non-work,Not Sure,non-work
8777,30540168,>60,5,0.5,>15 miles,>30
8778,30540181,<=30,3,<0.5,<=5 miles,<=10
8779,30540190,30 - 40,4,0.5,>15 miles,>30
8780,30540304,>60,2,non-work,Not Sure,non-work
8781,30540327,<=30,3,<0.5,>15 miles,20 - 30
8782,30540349,40 - 50,5,1,10 - 15 miles,20 - 30
8783,30540363,<=30,3,0.5,10 - 15 miles,>30
8784,30540379,>60,2,0.5,10 - 15 miles,>30
8785,30540427,40 - 50,4,>0.5,<=5 miles,<=10
8786,30540480,40 - 50,5,1,<=5 miles,10 - 20
8787,30540648,50 - 60,2,1,<=5 miles,<=10
8788,30540704,40 - 50,5,non-work,Not Sure,non-work
8789,30540741,30 - 40,3,1,<=5 miles,<=10
8790,30540756,>60,2,non-work,Not Sure,non-work
8791,30540786,>60,2,non-work,Not Sure,non-work
8792,30540906,40 - 50,5,1,5-10 miles,10 - 20
8793,30540982,40 - 50,1,non-work,Not Sure,non-work
8794,30541132,>60,5,non-work,Not Sure,non-work
8795,30541185,>60,2,non-work,Not Sure,non-work
8796,30541205,>60,3,non-work,Not Sure,non-work
8797,30541247,50 - 60,5,0.5,Not Sure,non-work
8798,30541305,30 - 40,5,<0.5,>15 miles,>30
8799,30541645,50 - 60,5,1,5-10 miles,10 - 20
8800,30541694,30 - 40,4,1,>15 miles,10 - 20
8801,30541809,30 - 40,4,<0.5,5-10 miles,10 - 20
8802,30541886,50 - 60,4,0.5,5-10 miles,<=10
8803,30541918,<=30,5,1,10 - 15 miles,10 - 20
8804,30541921,50 - 60,5,1,10 - 15 miles,10 - 20
8805,30541961,30 - 40,5,0.5,10 - 15 miles,>30
8806,30542000,>60,3,non-work,Not Sure,non-work
8807,30542037,>60,5,non-work,Not Sure,non-work
8808,30542070,>60,3,0,<=5 miles,10 - 20
8809,30542127,<=30,3,0.5,10 - 15 miles,20 - 30
8810,30542303,>60,3,non-work,Not Sure,non-work
8811,30542432,50 - 60,5,1,10 - 15 miles,10 - 20
8812,30542503,>60,5,1,<=5 miles,<=10
8813,30542511,<=30,1,1,<=5 miles,<=10
8814,30542521,30 - 40,1,non-work,Not Sure,non-work
8815,30542619,50 - 60,3,0.5,5-10 miles,10 - 20
8816,30542625,>60,3,non-work,Not Sure,non-work
8817,30543103,50 - 60,5,1,<=5 miles,10 - 20
8818,30543277,50 - 60,5,non-work,Not Sure,non-work
8819,30543280,>60,3,non-work,Not Sure,non-work
8820,30543317,40 - 50,4,0,<=5 miles,10 - 20
8821,30543566,>60,2,non-work,Not Sure,non-work
8822,30543579,>60,4,non-work,Not Sure,non-work
8823,30543612,>60,3,non-work,Not Sure,non-work
8824,30543627,50 - 60,4,0.5,>15 miles,>30
8825,30543662,>60,3,0,Not Sure,non-work
8826,30543686,<=30,4,>0.5,10 - 15 miles,20 - 30
8827,30543782,50 - 60,4,1,>15 miles,20 - 30
8828,30543959,50 - 60,5,1,>15 miles,>30
8829,30544036,>60,3,0,<=5 miles,>30
8830,30544134,<=30,5,<0.5,5-10 miles,10 - 20
8831,30544175,>60,2,non-work,Not Sure,non-work
8832,30544194,>60,3,non-work,Not Sure,non-work
8833,30544210,40 - 50,5,<0.5,<=5 miles,<=10
8834,30544335,40 - 50,4,1,10 - 15 miles,10 - 20
8835,30544422,50 - 60,5,0.5,5-10 miles,20 - 30
8836,30544724,50 - 60,5,1,<=5 miles,10 - 20
8837,30544794,>60,3,non-work,Not Sure,non-work
8838,30544973,50 - 60,1,non-work,Not Sure,non-work
8839,30545055,>60,4,1,5-10 miles,20 - 30
8840,30545076,40 - 50,5,<0.5,5-10 miles,10 - 20
8841,30545208,>60,3,1,<=5 miles,<=10
8842,30545309,30 - 40,4,1,<=5 miles,10 - 20
8843,30545365,>60,5,non-work,Not Sure,non-work
8844,30545527,30 - 40,4,<0.5,5-10 miles,20 - 30
8845,30545540,40 - 50,5,>0.5,<=5 miles,10 - 20
8846,30545596,50 - 60,4,1,<=5 miles,10 - 20
8847,30545703,>60,5,0,10 - 15 miles,20 - 30
8848,30545734,50 - 60,3,1,5-10 miles,>30
8849,30545757,>60,2,non-work,Not Sure,non-work
8850,30545810,40 - 50,2,0.5,Not Sure,non-work
8851,30545846,50 - 60,4,0.5,>15 miles,>30
8852,30545900,>60,3,non-work,Not Sure,non-work
8853,30546015,40 - 50,4,>0.5,>15 miles,>30
8854,30546119,30 - 40,5,1,>15 miles,>30
8855,30546155,>60,4,non-work,Not Sure,non-work
8856,30546189,>60,5,non-work,Not Sure,non-work
8857,30546236,30 - 40,5,0.5,5-10 miles,10 - 20
8858,30546241,>60,2,1,<=5 miles,<=10
8859,30546268,40 - 50,5,>0.5,>15 miles,>30
8860,30546381,30 - 40,5,0.5,>15 miles,10 - 20
8861,30546390,50 - 60,3,0.5,5-10 miles,>30
8862,30546391,<=30,4,1,>15 miles,20 - 30
8863,30546485,>60,2,non-work,Not Sure,non-work
8864,30546515,50 - 60,4,<0.5,10 - 15 miles,10 - 20
8865,30546627,>60,4,non-work,Not Sure,non-work
8866,30546651,>60,3,non-work,Not Sure,non-work
8867,30546743,>60,3,non-work,Not Sure,non-work
8868,30546814,>60,5,non-work,Not Sure,non-work
8869,30546836,50 - 60,3,non-work,Not Sure,non-work
8870,30546925,>60,2,non-work,Not Sure,non-work
8871,30547019,>60,2,non-work,Not Sure,non-work
8872,30547128,>60,5,0.5,<=5 miles,<=10
8873,30547195,>60,5,0.5,5-10 miles,10 - 20
8874,30547210,<=30,3,>0.5,<=5 miles,10 - 20
8875,30547274,50 - 60,1,non-work,Not Sure,non-work
8876,30547293,30 - 40,3,0.5,>15 miles,20 - 30
8877,30547520,50 - 60,2,non-work,Not Sure,non-work
8878,30547549,>60,5,0,>15 miles,<=10
8879,30547554,40 - 50,3,non-work,Not Sure,non-work
8880,30547565,>60,3,non-work,Not Sure,non-work
