,Unnamed: 0,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
7909,59928,30486820,HOME_OWN,5.0,5.0,Never,5,4,5,4.0,2.0,4.0,4.0,4.0,1,10,1.0,0.0,0.0,10,2,1,1,23,Daily,1.0,0,1,0,2,1,>60,4,non-work,Not Sure,non-work
7910,59929,30486823,HOME_OWN,8.0,,,-9,-9,-9,1.0,2.0,3.0,5.0,4.0,1,5,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,2,1,50 - 60,3,1,>15 miles,20 - 30
7911,59934,30486908,HOME_OWN,7.0,3.0,Never,5,5,5,3.0,2.0,2.0,3.0,5.0,1,8,1.0,0.0,0.6666666666666666,10,1,1,5,21,Daily,1.0,>0.5,1,0,>2,1,50 - 60,4,<0.5,>15 miles,>30
7912,59936,30486920,HOME_RENT,8.0,5.0,Never,5,5,4,4.0,3.0,4.0,4.0,4.0,1,8,1.0,0.0,0.0,10,1,1,1,21,Daily,1.0,0,1,0,2,1,>60,5,non-work,Not Sure,non-work
7913,59951,30487024,HOME_OWN,1.0,2.0,Rarely,4,4,5,4.0,4.0,2.0,2.0,3.0,2,3,1.0,0.0,0.0,1,2,1,1,23,Rarely,0.0,0,1,0,1,0,40 - 50,4,non-work,Not Sure,non-work
7914,59953,30487042,HOME_OWN,11.0,4.0,Rarely,5,5,4,3.0,2.0,3.0,4.0,5.0,1,11,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,2,1,50 - 60,5,1,5-10 miles,10 - 20
7915,59954,30487049,HOME_RENT,2.0,3.0,Never,5,5,5,1.0,3.0,2.0,3.0,3.0,2,2,1.0,0.0,1.0,1,2,2,6,22,Daily,1.0,1,1,0,1,1,30 - 40,3,0,<=5 miles,<=10
7916,59959,30487079,HOME_OWN,9.0,,,-9,-9,-9,5.0,3.0,5.0,5.0,5.0,1,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,2,2,6,24,Daily,0.3333333333333333,<0.5,<0.5,<0.5,>2,1,<=30,4,<0.5,<=5 miles,<=10
7917,59962,30487110,HOME_OWN,5.0,1.0,Never,5,5,5,2.0,2.0,3.0,4.0,4.0,2,7,1.0,0.0,0.0,9,2,2,6,23,Never,1.0,0,1,0,1,1,>60,3,non-work,Not Sure,non-work
7918,59998,30487408,HOME_OWN,7.0,,,-9,-9,-9,2.0,2.0,3.0,3.0,3.0,2,9,1.0,0.0,0.0,9,2,1,1,23,Never,1.0,0,1,0,1,1,>60,4,non-work,Not Sure,non-work
7919,60002,30487448,HOME_OWN,7.0,5.0,Rarely,5,5,5,1.0,3.0,3.0,3.0,3.0,1,21,0.6666666666666666,0.0,0.6666666666666666,6,2,4,6,23,Daily,0.6666666666666666,>0.5,>0.5,0,>2,1,40 - 50,5,0,>15 miles,20 - 30
7920,60007,30487475,HOME_RENT,2.0,2.0,,3,3,-9,5.0,4.0,2.0,4.0,2.0,2,0,1.0,0.0,0.0,1,2,1,3,22,Daily,0.0,0,1,0,1,0,50 - 60,2,non-work,Not Sure,non-work
7921,60016,30487517,HOME_OWN,3.0,1.0,Never,5,5,4,5.0,4.0,4.0,4.0,4.0,1,2,1.0,0.0,0.0,7,2,4,6,24,Daily,1.0,0,1,0,2,1,40 - 50,3,non-work,Not Sure,non-work
7922,60017,30487518,HOME_OWN,7.0,,,-9,-9,-9,4.0,4.0,4.0,4.0,4.0,1,21,0.4,0.0,0.4,4,2,1,3,23,Daily,0.4,<0.5,<0.5,0,>2,1,<=30,5,<0.5,5-10 miles,10 - 20
7923,60023,30487564,HOME_OWN,3.0,1.0,Never,5,5,5,2.0,2.0,3.0,4.0,4.0,1,11,1.0,0.0,1.0,2,2,1,3,22,Daily,1.0,1,1,0,2,1,>60,3,0.5,10 - 15 miles,20 - 30
7924,60033,30487650,HOME_RENT,7.0,2.0,Never,5,4,4,4.0,2.0,4.0,5.0,3.0,1,3,1.0,0.0,0.5,2,1,1,5,21,Daily,1.0,>0.5,1,0,2,1,30 - 40,5,0.5,10 - 15 miles,20 - 30
7925,60059,30487898,HOME_RENT,1.0,1.0,Never,2,5,5,4.0,2.0,,3.0,2.0,2,2,1.0,0.0,0.0,1,2,1,2,23,Never,0.0,0,1,0,1,0,>60,2,non-work,Not Sure,non-work
7926,60076,30488079,HOME_OWN,11.0,5.0,Never,5,5,5,4.0,2.0,4.0,4.0,4.0,2,4,1.0,0.0,1.0,1,1,1,2,21,Daily,1.0,1,1,0,1,1,>60,5,0,Not Sure,non-work
7927,60082,30488112,HOME_OWN,6.0,5.0,Never,5,5,5,3.0,4.0,3.0,3.0,3.0,1,5,1.0,0.0,1.0,2,2,1,2,23,Daily,1.0,1,1,0,2,1,>60,2,1,5-10 miles,10 - 20
7928,60091,30488165,HOME_OWN,5.0,4.0,Never,5,5,5,2.0,3.0,4.0,5.0,5.0,1,4,0.6,0.2,0.2,4,2,2,6,22,Daily,0.6,<0.5,>0.5,<0.5,>2,1,30 - 40,4,<0.5,>15 miles,20 - 30
7929,60094,30488170,HOME_OWN,9.0,5.0,Never,5,5,1,3.0,1.0,3.0,3.0,2.0,1,9,0.4,0.6,0.4,4,1,1,2,21,Daily,0.4,<0.5,<0.5,>0.5,>2,1,30 - 40,5,<0.5,>15 miles,>30
7930,60095,30488177,HOME_OWN,7.0,4.0,Rarely,5,5,5,2.0,3.0,4.0,4.0,5.0,1,9,0.4,0.2,0.2,4,2,4,6,22,Daily,0.4,<0.5,<0.5,<0.5,>2,1,<=30,2,<0.5,>15 miles,20 - 30
7931,60096,30488194,HOME_RENT,6.0,1.0,,-9,-9,-9,1.0,3.0,3.0,3.0,3.0,2,6,1.0,0.0,1.0,1,2,1,2,23,Daily,1.0,1,1,0,1,1,40 - 50,5,1,5-10 miles,10 - 20
7932,60111,30488344,HOME_OWN,8.0,2.0,Never,5,5,5,1.0,1.0,2.0,3.0,5.0,1,13,1.0,0.0,0.0,10,1,1,2,21,Daily,1.0,0,1,0,2,1,>60,3,non-work,Not Sure,non-work
7933,60114,30488364,HOME_RENT,2.0,3.0,Never,5,5,5,1.0,2.0,2.0,5.0,5.0,2,7,1.0,0.0,0.0,9,1,2,6,21,Never,1.0,0,1,0,1,1,>60,3,non-work,Not Sure,non-work
7934,60118,30488379,HOME_OWN,5.0,4.0,Never,5,5,5,3.0,3.0,2.0,5.0,5.0,1,12,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,2,1,1,23,Daily,0.6666666666666666,>0.5,>0.5,<0.5,>2,1,<=30,4,<0.5,<=5 miles,<=10
7935,60119,30488384,HOME_OWN,6.0,1.0,Never,4,5,5,5.0,3.0,5.0,5.0,5.0,2,6,1.0,0.0,1.0,1,1,4,6,21,Daily,1.0,1,1,0,1,1,50 - 60,5,1,>15 miles,20 - 30
7936,60120,30488395,HOME_OWN,6.0,4.0,Never,4,5,5,2.0,2.0,4.0,5.0,5.0,2,7,1.0,0.0,1.0,1,2,1,1,23,Daily,1.0,1,1,0,1,1,30 - 40,5,1,<=5 miles,<=10
7937,60124,30488422,HOME_OWN,3.0,,,-9,-9,-9,4.0,4.0,4.0,4.0,4.0,2,5,1.0,0.0,0.0,9,2,4,6,24,Daily,1.0,0,1,0,1,1,>60,2,non-work,Not Sure,non-work
7938,60130,30488477,HOME_OWN,6.0,1.0,Rarely,5,5,4,2.0,4.0,4.0,4.0,3.0,1,6,1.0,0.0,1.0,2,2,1,2,23,Daily,1.0,1,1,0,2,1,50 - 60,4,1,5-10 miles,10 - 20
7939,60132,30488483,HOME_OWN,7.0,2.0,Rarely,5,5,5,2.0,2.0,1.0,1.0,3.0,1,5,0.5,0.0,0.5,7,2,1,1,23,Daily,0.5,>0.5,>0.5,0,2,1,30 - 40,5,0.5,<=5 miles,<=10
7940,60134,30488511,HOME_OWN,6.0,3.0,Rarely,5,5,5,2.0,2.0,3.0,3.0,3.0,1,4,1.0,0.0,0.0,2,2,4,6,24,Daily,1.0,0,1,0,2,1,40 - 50,3,non-work,Not Sure,non-work
7941,60170,30488813,HOME_OWN,5.0,4.0,Never,5,5,5,2.0,3.0,4.0,5.0,5.0,1,10,1.0,0.0,0.0,10,2,4,6,22,Rarely,1.0,0,1,0,2,1,>60,2,non-work,Not Sure,non-work
7942,60176,30488840,HOME_RENT,4.0,5.0,Never,5,5,5,4.0,4.0,5.0,5.0,5.0,2,1,1.0,0.0,0.0,9,2,1,3,22,Never,1.0,0,1,0,1,0,>60,3,non-work,Not Sure,non-work
7943,60177,30488847,HOME_OWN,6.0,2.0,Never,3,4,5,4.0,3.0,5.0,5.0,5.0,1,2,1.0,0.0,0.5,10,1,1,5,21,Daily,1.0,>0.5,1,0,2,1,>60,2,0,<=5 miles,10 - 20
7944,60178,30488861,HOME_OWN,8.0,4.0,Never,5,5,5,2.0,3.0,5.0,5.0,5.0,1,6,1.0,0.0,1.0,2,2,1,1,23,Daily,1.0,1,1,0,2,1,40 - 50,4,0.5,>15 miles,>30
7945,60180,30488867,HOME_OWN,11.0,1.0,Rarely,2,5,2,4.0,4.0,2.0,2.0,2.0,1,24,0.5,0.0,0.5,6,1,4,6,21,Daily,0.5,>0.5,>0.5,0,>2,1,<=30,5,<0.5,>15 miles,<=10
7946,60183,30488877,HOME_OWN,7.0,4.0,Never,4,4,5,2.0,2.0,5.0,5.0,4.0,2,3,1.0,0.0,1.0,1,2,4,6,23,Daily,1.0,1,1,0,1,1,>60,5,1,5-10 miles,10 - 20
7947,60192,30488937,HOME_RENT,4.0,2.0,Never,5,5,5,4.0,2.0,3.0,3.0,3.0,2,0,1.0,0.0,1.0,1,2,1,1,23,Never,1.0,1,1,0,1,1,>60,1,0,<=5 miles,20 - 30
7948,60193,30488950,HOME_OWN,4.0,5.0,Never,5,5,5,2.0,3.0,5.0,5.0,5.0,2,5,1.0,0.0,0.0,9,2,4,6,23,Daily,1.0,0,1,0,1,1,>60,4,non-work,Not Sure,non-work
7949,60200,30489009,HOME_RENT,6.0,2.0,,-9,-9,4,4.0,3.0,4.0,4.0,3.0,2,4,1.0,0.0,1.0,1,2,1,3,23,Daily,1.0,1,1,0,1,1,<=30,3,1,5-10 miles,10 - 20
7950,60201,30489017,HOME_OWN,6.0,5.0,Never,5,5,5,4.0,1.0,3.0,3.0,3.0,1,3,1.0,0.0,1.0,10,2,4,6,23,Rarely,1.0,1,1,0,2,1,>60,3,0.5,Not Sure,non-work
7951,60206,30489039,HOME_RENT,4.0,1.0,Never,4,2,3,3.0,4.0,2.0,3.0,3.0,2,7,1.0,0.0,0.0,9,1,1,5,21,Daily,0.0,0,1,0,1,0,>60,5,non-work,Not Sure,non-work
7952,60211,30489074,HOME_RENT,5.0,5.0,Never,5,5,5,3.0,3.0,5.0,5.0,5.0,1,4,1.0,0.0,0.0,10,2,1,1,23,Daily,0.5,0,1,0,2,1,>60,3,non-work,Not Sure,non-work
7953,60212,30489076,HOME_OWN,6.0,5.0,Never,5,5,5,1.0,1.0,5.0,5.0,5.0,1,4,1.0,0.0,1.0,2,2,4,6,24,Daily,1.0,1,1,0,2,1,>60,5,1,>15 miles,>30
7954,60214,30489102,HOME_OWN,,5.0,Never,5,5,5,1.0,2.0,,,,1,0,1.0,0.0,0.0,10,2,4,6,23,Rarely,1.0,0,1,0,2,1,>60,5,non-work,Not Sure,non-work
7955,60223,30489168,HOME_OWN,11.0,2.0,Rarely,5,5,5,1.0,3.0,4.0,4.0,5.0,1,7,1.0,0.0,0.5,2,2,4,6,23,Daily,1.0,>0.5,1,0,2,1,50 - 60,3,0.5,>15 miles,>30
7956,60232,30489260,HOME_RENT,5.0,1.0,Rarely,5,4,5,2.0,2.0,1.0,1.0,3.0,2,10,1.0,0.0,1.0,1,2,1,1,23,Daily,1.0,1,1,0,1,1,30 - 40,4,1,<=5 miles,<=10
