,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
5583,30344351,3,HOME_RENT,3,1,Rarely,4,2,4,2,2,1,1,1,2,1,6,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,24.0,<=30,4.0,0,<=5 miles,<=10,2.0,6.0,>5,0,0
5584,30344375,7,HOME_OWN,5,2,Never,5,5,5,2,2,4,5,5,1,2,12,1.0,0.0,1.0,2,2,1,1,23,Daily,2,1.0,1,1,0,2,1,64.0,>60,3.0,0.5,>15 miles,20 - 30,2.0,6.0,>5,0.5,0.5
5585,30344381,6,HOME_OWN,2,4,Never,5,5,5,2,3,5,5,5,1,1,0,1.0,0.0,0.0,2,2,4,6,23,Daily,2,0.5,0,1,0,2,1,59.0,50 - 60,2.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5586,30344438,7,HOME_RENT,3,2,Rarely,5,4,4,1,1,1,1,1,1,2,16,0.2,0.0,0.4,5,2,1,3,22,Daily,2,0.4,<0.5,<0.5,0,>2,1,17.8,<=30,4.0,<0.5,<=5 miles,10 - 20,4.0,3.2,3 - 4,<0.5,<0.5
5587,30344528,2,HOME_RENT,4,2,Rarely,5,3,3,2,2,2,5,2,2,0,7,1.0,0.0,0.0,1,2,1,3,22,Rarely,2,0.0,0,1,0,1,0,55.0,50 - 60,3.0,non-work,Not Sure,non-work,3.0,7.0,>5,non-work,non-work
5588,30344593,3,HOME_OWN,5,3,Never,5,5,5,3,5,3,3,3,2,1,9,1.0,0.0,1.0,9,2,1,2,23,Daily,2,1.0,1,1,0,1,1,65.0,>60,5.0,0,10 - 15 miles,20 - 30,1.0,9.0,>5,1,1
5589,30344678,2,HOME_OWN,10,5,Rarely,5,5,4,2,3,4,4,4,1,2,7,1.0,0.0,0.5,10,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1,63.5,>60,5.0,0.5,Not Sure,non-work,2.0,3.5,3 - 4,0.5,0
5590,30344735,5,HOME_OWN,7,5,Never,5,-9,5,5,5,5,5,5,2,1,3,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,41.0,40 - 50,5.0,1,Not Sure,non-work,2.0,3.0,2 - 3,1,0
5591,30344801,3,HOME_OWN,4,3,Never,5,5,5,1,1,3,3,3,1,2,6,1.0,0.0,0.0,10,2,4,6,23,Daily,2,1.0,0,1,0,2,1,67.0,>60,3.0,non-work,Not Sure,non-work,3.0,3.0,2 - 3,non-work,non-work
5592,30344809,3,HOME_RENT,8,2,Never,5,4,4,5,4,4,4,4,1,2,6,1.0,0.0,1.0,2,2,1,1,23,Daily,2,1.0,1,1,0,2,1,29.0,<=30,5.0,1,10 - 15 miles,10 - 20,2.0,3.0,2 - 3,1,0.5
5593,30344890,7,HOME_RENT,5,1,Never,4,2,2,3,4,3,5,2,2,1,6,1.0,0.0,1.0,1,1,1,5,21,Daily,2,1.0,1,1,0,1,0,58.0,50 - 60,5.0,0,<=5 miles,<=10,4.0,6.0,>5,1,1
5594,30345022,6,HOME_RENT,5,1,Rarely,5,5,5,1,1,1,3,5,2,1,5,1.0,0.0,1.0,1,2,1,2,23,Never,2,1.0,1,1,0,1,1,64.0,>60,2.0,1,<=5 miles,10 - 20,4.0,5.0,4 - 5,1,1
5595,30345149,1,HOME_OWN,2,1,Rarely,5,5,5,2,3,5,5,5,1,2,6,1.0,0.0,0.0,10,2,4,6,23,Daily,2,1.0,0,1,0,2,1,69.0,>60,3.0,non-work,Not Sure,non-work,2.0,3.0,2 - 3,non-work,non-work
5596,30345174,1,HOME_RENT,4,5,Never,5,5,5,4,4,5,5,5,1,1,10,1.0,0.0,0.0,10,1,1,5,21,Daily,2,0.5,0,1,0,2,1,85.5,>60,3.0,non-work,Not Sure,non-work,3.0,5.0,4 - 5,non-work,non-work
5597,30345187,6,HOME_OWN,10,4,Never,4,4,5,4,4,5,5,5,1,2,4,1.0,0.0,1.0,2,2,1,1,23,Daily,2,1.0,1,1,0,2,1,60.0,50 - 60,4.0,1,>15 miles,20 - 30,3.0,2.0,<=2,1,0
5598,30345246,3,HOME_OWN,5,2,Never,5,5,5,4,4,4,4,4,1,2,5,1.0,0.0,0.0,10,2,4,6,23,Daily,2,1.0,0,1,0,2,1,79.5,>60,3.0,non-work,Not Sure,non-work,3.0,2.5,2 - 3,non-work,non-work
5599,30345298,3,HOME_OWN,6,4,Never,5,5,5,3,3,4,4,5,1,2,13,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1,63.0,>60,5.0,non-work,Not Sure,non-work,2.0,6.5,>5,non-work,non-work
5600,30345333,1,HOME_OWN,NA,3,Daily,4,5,5,2,3,3,2,4,2,1,2,1.0,0.0,1.0,1,2,1,3,22,Daily,2,1.0,1,1,0,1,1,21.0,<=30,2.0,non-work,Not Sure,non-work,3.0,2.0,<=2,non-work,non-work
5601,30345435,6,HOME_OWN,9,5,Never,4,5,5,3,1,5,5,5,1,2,9,0.5,0.0,0.25,6,1,4,6,21,Daily,2,0.5,<0.5,>0.5,0,>2,1,24.5,<=30,4.0,<0.5,>15 miles,>30,1.0,2.25,2 - 3,<0.5,0
5602,30345460,5,HOME_OWN,1,3,Never,5,5,5,2,1,1,5,5,2,1,9,1.0,0.0,0.0,9,2,2,6,24,Never,2,1.0,0,1,0,1,1,64.0,>60,2.0,non-work,Not Sure,non-work,4.0,9.0,>5,non-work,non-work
5603,30345498,5,HOME_OWN,6,2,Never,4,5,4,3,3,3,3,3,2,1,5,1.0,0.0,0.0,9,2,1,2,23,Daily,2,1.0,0,1,0,1,1,86.0,>60,2.0,non-work,Not Sure,non-work,2.0,5.0,4 - 5,non-work,non-work
5604,30345609,5,HOME_OWN,6,3,Rarely,5,5,5,4,4,4,4,3,1,1,19,1.0,0.0,0.0,10,2,1,1,23,Rarely,2,0.5,0,1,0,2,1,69.5,>60,2.0,non-work,Not Sure,non-work,3.0,9.5,>5,non-work,non-work
5605,30345655,6,HOME_RENT,6,1,NA,-9,1,1,2,2,2,2,2,1,0,0,1.0,0.0,0.3333333333333333,8,1,1,5,21,Daily,2,0.0,<0.5,1,0,>2,0,34.666666666666664,30 - 40,3.0,<0.5,<=5 miles,>30,4.0,0.0,<=2,<0.5,0
5606,30345792,3,HOME_OWN,9,1,Rarely,4,4,4,2,4,3,3,4,1,2,8,0.5,0.0,0.5,6,2,4,6,23,Daily,2,0.5,>0.5,>0.5,0,>2,1,26.25,<=30,5.0,0.5,>15 miles,>30,1.0,2.0,<=2,0.5,<0.5
5607,30345981,7,HOME_RENT,4,3,Never,4,4,4,1,2,2,5,4,2,1,3,1.0,0.0,0.0,1,2,1,1,23,Daily,2,1.0,0,1,0,1,1,28.0,<=30,3.0,non-work,Not Sure,non-work,1.0,3.0,2 - 3,non-work,non-work
5608,30346050,1,HOME_RENT,5,4,Never,5,5,5,3,4,4,5,5,2,1,4,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,27.0,<=30,3.0,1,<=5 miles,<=10,2.0,4.0,3 - 4,1,1
5609,30346055,5,HOME_OWN,2,4,Never,5,5,5,2,3,5,5,5,1,1,14,0.3333333333333333,0.0,0.3333333333333333,7,2,4,6,23,Rarely,2,0.3333333333333333,<0.5,<0.5,0,>2,1,31.33333333333333,30 - 40,5.0,0,>15 miles,>30,2.0,4.666666666666667,4 - 5,<0.5,<0.5
5610,30346068,4,HOME_OWN,3,5,Never,2,5,5,5,3,5,5,5,1,0,2,1.0,0.0,0.5,2,2,1,1,23,Daily,2,0.0,>0.5,1,0,2,0,56.5,50 - 60,2.0,0,<=5 miles,<=10,4.0,1.0,<=2,0.5,0.5
5611,30346179,1,HOME_OWN,10,4,Never,4,5,4,5,4,5,5,5,1,>2,4,1.0,0.0,1.0,2,1,1,5,21,Daily,2,1.0,1,1,0,>2,1,45.0,40 - 50,4.0,1,>15 miles,>30,2.0,1.3333333333333333,<=2,1,<0.5
5612,30346224,2,HOME_OWN,6,2,Never,5,5,5,2,3,3,5,5,1,2,24,0.3333333333333333,0.0,0.16666666666666666,6,2,1,3,22,Daily,2,0.3333333333333333,<0.5,<0.5,0,>2,1,26.0,<=30,3.0,<0.5,<=5 miles,<=10,3.0,4.0,3 - 4,<0.5,0
5613,30346262,3,HOME_OWN,6,4,Never,5,5,5,4,3,5,5,5,2,1,6,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,69.0,>60,5.0,1,<=5 miles,<=10,1.0,6.0,>5,1,0
5614,30346279,7,HOME_OWN,NA,3,Rarely,5,5,5,2,1,1,3,3,1,2,6,1.0,0.0,0.0,10,2,4,6,22,Rarely,2,1.0,0,1,0,2,1,84.0,>60,2.0,non-work,Not Sure,non-work,3.0,3.0,2 - 3,non-work,non-work
5615,30346306,1,HOME_OWN,5,3,Never,4,5,4,5,3,5,5,5,2,1,5,1.0,0.0,1.0,1,1,1,5,21,Daily,2,1.0,1,1,0,1,1,60.0,50 - 60,3.0,1,<=5 miles,<=10,3.0,5.0,4 - 5,1,0
5616,30346317,7,HOME_OWN,11,2,Never,4,4,4,4,3,5,5,5,1,2,14,1.0,0.0,0.0,2,2,1,1,23,Daily,2,1.0,0,1,0,2,1,62.5,>60,5.0,non-work,Not Sure,non-work,2.0,7.0,>5,non-work,non-work
5617,30346333,5,HOME_OWN,6,4,Never,4,5,4,2,2,2,3,2,1,1,10,1.0,0.0,1.0,2,2,1,3,22,Daily,2,0.5,1,1,0,2,1,38.0,30 - 40,5.0,0.5,10 - 15 miles,10 - 20,2.0,5.0,4 - 5,1,0.5
5618,30346344,4,HOME_OWN,9,5,Never,5,5,4,2,3,4,5,3,2,1,3,1.0,0.0,1.0,1,1,1,5,21,Daily,2,1.0,1,1,0,1,1,55.0,50 - 60,5.0,1,5-10 miles,<=10,1.0,3.0,2 - 3,1,0
5619,30346362,7,HOME_OWN,2,NA,NA,-9,-9,-9,3,2,3,5,2,2,0,2,1.0,0.0,0.0,9,1,1,5,21,Never,2,0.0,0,1,0,1,0,73.0,>60,2.0,non-work,Not Sure,non-work,5.0,2.0,<=2,non-work,non-work
5620,30346377,7,HOME_OWN,11,3,Never,4,5,4,5,3,4,4,4,1,2,5,1.0,0.0,1.0,2,1,1,2,21,Daily,2,1.0,1,1,0,2,1,60.5,>60,4.0,1,<=5 miles,<=10,1.0,2.5,2 - 3,1,0.5
5621,30346407,1,HOME_RENT,6,1,Never,4,4,4,3,2,4,3,3,2,0,0,1.0,0.0,0.0,9,1,1,5,21,Daily,2,0.0,0,1,0,1,0,74.0,>60,2.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5622,30346626,4,HOME_RENT,3,1,Daily,5,5,5,5,5,5,5,5,1,2,6,1.0,0.0,0.0,10,2,1,3,22,Daily,2,1.0,0,1,0,2,1,79.5,>60,5.0,non-work,Not Sure,non-work,2.0,3.0,2 - 3,non-work,non-work
5623,30346634,5,HOME_OWN,4,5,Never,5,5,5,1,2,5,5,5,1,2,8,1.0,0.0,1.0,2,2,4,6,24,Daily,2,1.0,1,1,0,2,1,68.0,>60,3.0,1,<=5 miles,<=10,1.0,4.0,3 - 4,1,0
5624,30346666,7,HOME_RENT,1,2,Never,4,3,4,5,2,4,5,2,2,>2,6,1.0,0.0,0.6666666666666666,2,2,1,1,23,Daily,2,1.0,>0.5,1,0,>2,1,20.666666666666668,<=30,3.0,0,<=5 miles,<=10,1.0,2.0,<=2,>0.5,<0.5
5625,30346685,5,HOME_OWN,4,5,Never,5,5,5,4,4,4,4,4,1,2,10,1.0,0.0,0.5,2,2,4,6,24,Never,2,1.0,>0.5,1,0,2,1,62.5,>60,4.0,0.5,5-10 miles,10 - 20,3.0,5.0,4 - 5,0.5,0.5
5626,30346742,4,HOME_OWN,5,3,Never,4,4,4,3,2,4,5,5,1,2,5,1.0,0.0,0.6666666666666666,10,1,1,5,21,Daily,2,0.6666666666666666,>0.5,1,0,>2,1,64.33333333333333,>60,3.0,<0.5,10 - 15 miles,10 - 20,2.0,1.6666666666666667,<=2,>0.5,0
5627,30346788,1,HOME_RENT,1,3,NA,3,1,-9,2,1,1,4,1,2,0,4,1.0,0.0,0.0,9,2,1,3,23,Never,2,0.0,0,1,0,1,0,61.0,>60,2.0,non-work,Not Sure,non-work,3.0,4.0,3 - 4,non-work,non-work
5628,30346811,4,HOME_OWN,4,2,Never,5,5,4,3,3,4,4,4,2,1,11,1.0,0.0,0.0,9,1,2,6,21,Daily,2,1.0,0,1,0,1,1,82.0,>60,3.0,non-work,Not Sure,non-work,2.0,11.0,>5,non-work,non-work
