,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
2035,30131322,HOME_OWN,6,4,Never,5,5,5,4,4,5,5,5,1,10,1,0,1,2,2,1,3,22,Daily,1,1,1,0,2,1,56.5,50 - 60,4,1,5-10 miles,20 - 30,3,5,4-May,1,0.5
2036,30131361,HOME_OWN,6,5,Never,5,5,5,3,4,5,5,5,1,15,1,0,0,10,2,1,2,23,Daily,1,0,1,0,2,1,74,>60,2,non-work,Not Sure,non-work,4,7.5,>5,non-work,non-work
2037,30131386,HOME_RENT,,1,Rarely,5,3,5,3,4,3,3,3,2,0,1,0,0,9,2,1,2,23,Daily,1,0,1,0,1,1,68,>60,2,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
2038,30131390,HOME_RENT,1,1,Never,3,4,5,2,2,1,5,3,2,3,1,0,0,9,2,1,2,23,Daily,0,0,1,0,1,0,92,>60,2,non-work,Not Sure,non-work,1,3,2-Mar,non-work,non-work
2039,30131449,HOME_OWN,,1,Daily,4,2,2,4,3,4,4,4,1,14,1,0,0,8,2,1,3,22,Daily,0.666666667,0,1,0,>2,1,47,40 - 50,5,non-work,Not Sure,non-work,1,4.666666667,4-May,non-work,non-work
2040,30131566,HOME_OWN,7,2,Daily,5,5,5,5,3,3,3,2,1,11,1,0,1,10,2,4,6,23,Daily,1,1,1,0,2,1,68,>60,5,0,Not Sure,non-work,1,5.5,>5,1,0
2041,30131617,HOME_OWN,2,2,Never,5,5,5,2,3,5,5,5,1,8,1,0,0,10,2,4,6,24,Never,1,0,1,0,2,1,88,>60,2,non-work,Not Sure,non-work,3,4,3-Apr,non-work,non-work
2042,30131790,HOME_RENT,6,2,Never,3,3,4,3,2,5,5,5,1,2,1,0,0,10,1,1,5,21,Daily,0,0,1,0,2,0,72.5,>60,4,non-work,Not Sure,non-work,4,1,<=2,non-work,non-work
2043,30131816,HOME_RENT,1,3,Never,5,3,3,2,2,2,3,1,1,2,1,0,0,10,1,1,5,21,Never,0,0,1,0,2,0,73.5,>60,2,non-work,Not Sure,non-work,5,1,<=2,non-work,non-work
2044,30131847,HOME_OWN,7,1,Rarely,4,5,4,2,4,3,3,3,1,15,1,0,1,2,2,2,6,24,Daily,1,1,1,0,2,1,60,50 - 60,5,0.5,5-10 miles,Oct-20,2,7.5,>5,1,0.5
